Sr.No|Round|Institute|PG Program|Group|Category|Max GATE Score|Min GATE Score
1|Round 1|National Institute of Technology Raipur|VLSI & Embedded Systems|G1|OPEN|565|464
2|Round 1|National Institute of Technology Raipur|VLSI & Embedded Systems|G2|SC|320|320
3|Round 1|National Institute of Technology Sikkim|M.Tech in VLSI and Embedded Systems|G1|OPEN|429|420
4|Round 1|National Institute of Technology Sikkim|M.Tech in Communication and Signal Processing|G1|OBC-NCL|368|365
5|Round 1|National Institute of Technology, Jamshedpur|Communication Systems Engineering|G1|ST|251|251
6|Round 1|National Institute of Technology, Jamshedpur|Geotechnical Engineering|G1|EWS|324|324
7|Round 1|National Institute of Technology, Jamshedpur|Computer Science & Engineering|G1|EWS|556|547
8|Round 1|National Institute of Technology, Kurukshetra|Geotechnical Engineering|G1|ST|277|277
9|Round 1|National Institute of Technology, Kurukshetra|Machine Design|G1|SC|310|310
10|Round 1|National Institute of Technology, Kurukshetra|Transportation Engineering|G1|OPEN|454|397
11|Round 1|National Institute of Technology, Manipur|Communication & Signal Processing|G1|OPEN|360|350
12|Round 1|National Institute of Technology, Manipur|VLSI Design & Embedded Systems|G1|OPEN|393|360
13|Round 1|National Institute of Technology Mizoram|Microelectronics and VLSI System Design|G1|OBC-NCL|358|355
14|Round 1|National Institute of Technology, Rourkela|RF and Microwave systems|G2|OBC-NCL|464|464
15|Round 1|National Institute of Technology, Rourkela|Industrial Refrigeration and Cryogenic Engineering|G3|OBC-NCL|347|343
16|Round 1|National Institute of Technology, Rourkela|Mechanical Systems Design and Control|G2|OPEN|571|571
17|Round 1|National Institute of Technology, Rourkela|Mechanical Systems Design and Control|G3|SC|371|351
18|Round 1|National Institute of Technology, Rourkela|Biotechnology|G1|EWS|401|395
19|Round 1|National Institute of Technology, Rourkela|Chemical Engineering|G3|OPEN|426|426
20|Round 1|National Institute of Technology, Rourkela|Chemical Engineering|G4|SC|238|238
21|Round 1|National Institute of Technology, Rourkela|Communication & Networks|G1|ST|362|313
22|Round 1|National Institute of Technology, Rourkela|Energy and Environmental Engineering|G1|EWS|355|355
23|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Structural Engineering|G1|EWS|462|455
24|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Thermal Systems Design|G1|SC|281|269
25|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Power System|G1|ST|310|310
26|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Transportation Engineering & Planning|G1|EWS|382|344
27|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Urban Planning|G1|OBC-NCL|383|344
28|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Urban Planning|G1|EWS|371|371
29|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Communication System Engineering|G1|OBC-NCL|410|385
30|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Production & Industrial Engineering|G1|OPEN|412|351
31|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Integrated Power Systems|G1|ST|279|253
32|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Structural Engineering|G1|OPEN|524|480
33|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Structural Engineering|G1|OPEN-PwD|277|277
34|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Transportation Engineering|G1|ST|271|271
35|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Urban Planning|G2|OBC-NCL|353|329
36|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Water Resource Engineering|G1|OBC-NCL|351|344
37|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Power Electronics, Machines and Drives|G1|OBC-NCL|367|354
38|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|IC Design and Technology|G1|OPEN|496|452
39|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|Information and Cyber Security|G1|EWS|523|523
40|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. ECE with specialization in Microelectronics|G1|EWS|469|464
41|Round 1|Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai|Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence|G1|OBC-NCL|528|458
42|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Power & Control|G1|OPEN|365|358
43|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Data Science|G1|OPEN|537|514
44|Round 1|Indian Institute of Information Technology, Design and Manufacturing, Kurnool|VLSI & Embedded Systems|G1|OBC-NCL|385|355
45|Round 1|Indian Institute of Information Technology, Design and Manufacturing, Kurnool|Computer Science & Engineering|G1|OBC-NCL|448|434
46|Round 1|Indian Institute of Information Technology, Bhopal|M.Tech in Cyber Physical System|G1|OBC-NCL|411|382
47|Round 1|Indian Institute of Information Technology, Bhopal|M.Tech in Cyber Physical System|G1|SC|305|291
48|Round 1|Sant Longowal Institute of Engineering and Technology|Food Engineering & Technology|G1|ST|243|243
49|Round 1|Sant Longowal Institute of Engineering and Technology|Computer Science & Engineering|G1|OBC-NCL|364|349
50|Round 1|School of Planning and Architecture, Bhopal|M.Arch. (Urban Design)|G1|OBC-NCL|454|400
51|Round 1|School of Planning and Architecture, Bhopal|M.Arch. (Urban Design)|G1|EWS|450|365
52|Round 1|School of Planning & Architecture: Vijayawada|Master of Planning (Urban and Regional Planning)|G1|ST|338|338
53|Round 1|International Institute of Information Technology, Naya Raipur|Computer Science & Engineering|G1|SC|360|360
54|Round 1|Punjab Engineering College, Chandigarh|Aerospace Engineering|G1|ST|258|258
55|Round 1|Punjab Engineering College, Chandigarh|Healthcare Informatics|G1|OPEN|474|379
56|Round 1|International Institute of Information Technology, Bhubaneswar|Computer Science & Engineering|G1|OBC-NCL|496|440
57|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Laser and Electro Optics|G1|OBC-NCL|355|342
58|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Aerospace Engineering (UAVs)|G1|EWS|404|404
59|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Quantum Computing|G1|SC|311|288
60|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (Signal Processing and communication)|G1|OBC-NCL|355|354
61|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (Signal Processing and communication)|G1|OPEN|446|401
62|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (VLSI and Embedded System)|G1|ST|236|231
63|Round 1|National Institute of Technology, Warangal|Materials Technology|G1|OPEN|408|376
64|Round 1|National Institute of Technology, Warangal|Water Resources Engineering|G1|EWS|396|385
65|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Geotechnical Engineering|G1|OBC-NCL|362|352
66|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Communication System|G1|EWS|400|400
67|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Transportation Engineering & Planning|G1|OBC-NCL|388|363
68|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Water Resource Engineering|G1|OBC-NCL|347|337
69|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Communication System Engineering|G1|SC|315|308
70|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Environmental Engineering|G1|SC|300|293
71|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Environmental Engineering|G1|ST|270|270
72|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Heat Power Engineering|G1|OBC-NCL|347|322
73|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Production & Industrial Engineering|G1|ST|236|236
74|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Power Electronics & Drives|G1|OPEN|468|398
75|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Urban Planning|G1|OPEN|602|501
76|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Geotechnical Engineering|G1|ST|271|271
77|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Mechatronics|G1|OPEN|410|370
78|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Manufacturing Technology|G1|OBC-NCL|328|328
79|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Materials Engineering|G1|SC|253|246
80|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Renewable Energy Science and Technology|G1|OBC-NCL|349|292
81|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Structural Engineering|G1|EWS|370|355
82|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Transportation Engineering|G1|OPEN|436|392
83|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|VLSI Design|G1|SC|353|310
84|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|VLSI Design|G1|ST|246|246
85|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|Information and Cyber Security|G1|OBC-NCL|527|501
86|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. ECE with specialization in Microelectronics|G1|SC|360|330
87|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. ECE with specialization in Microelectronics|G1|ST|266|252
88|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. ECE  with specialization in Communication Engineering|G1|EWS|390|385
89|Round 1|Indian Institute of Information Technology, Allahabad|Dual Degree M.Tech. –PhD in ECE with specialization in Microelectronics|G1|OBC-NCL|360|360
90|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. IT  with specialization in Software and Data Engineering Group|G1|SC|463|443
91|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. IT  with specialization in Software and Data Engineering Group|G1|ST|328|291
92|Round 1|Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai|Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence|G1|EWS|485|482
93|Round 1|Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai|Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems|G1|SC|340|325
94|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Design|G1|SC|257|257
95|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Data Science|G1|ST|238|238
96|Round 1|Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur|Communication & Signal Processing|G1|EWS|362|362
97|Round 1|Indian Institute of Information Technology Tiruchirappalli|VLSI Systems|G1|SC|355|328
98|Round 1|Indian Institute of Information Technology Tiruchirappalli|Computer Science & Engineering|G1|SC|364|342
99|Round 1|Indian Institute of Information Technology Tiruchirappalli|Computer Science & Engineering|G1|ST|263|252
100|Round 1|Indian Institute of Information Technology, Design and Manufacturing, Kurnool|Computer Science & Engineering|G1|SC|339|313
101|Round 1|Indian Institute of Information Technology, Pune|Electronics and Communication Engineering|G1|EWS|350|350
102|Round 1|National Institute of Technology, Rourkela|Atmosphere and Ocean Science|G1|SC|360|342
103|Round 1|National Institute of Technology, Rourkela|Communication & Networks|G1|OPEN|624|547
104|Round 1|National Institute of Technology, Rourkela|Energy and Environmental Engineering|G2|ST|260|260
105|Round 1|National Institute of Technology, Rourkela|Energy and Environmental Engineering|G3|SC|274|267
106|Round 1|National Institute of Technology, Rourkela|Electronic Systems & Communication|G1|OPEN|569|509
107|Round 1|National Institute of Technology, Rourkela|Electronic Systems & Communication|G1|ST|310|306
108|Round 1|National Institute of Technology, Rourkela|Electronics and Instrumentation Engineering|G1|OPEN|568|499
109|Round 1|National Institute of Technology, Rourkela|Metallurgical & Materials Engineering|G3|OPEN|375|375
110|Round 1|National Institute of Technology, Rourkela|Mining Engineering|G2|SC|312|312
111|Round 1|National Institute of Technology, Rourkela|Power Electronics & Drives|G1|SC|390|367
112|Round 1|National Institute of Technology, Rourkela|Software Engineering|G1|EWS|639|632
113|Round 1|National Institute of Technology, Rourkela|Signal & Image Processing|G1|ST|297|297
114|Round 1|National Institute of Technology, Rourkela|Water Resources Engineering|G1|ST|311|276
115|Round 1|National Institute of Technology, Rourkela|Computer Science|G1|EWS|671|661
116|Round 1|National Institute of Technology, Silchar|Artificial Intelligence|G1|OPEN|704|542
117|Round 1|National Institute of Technology, Silchar|Material & Manufacturing Technology|G1|SC|302|302
118|Round 1|National Institute of Technology, Silchar|Data Science & Engineering|G1|SC|433|431
119|Round 1|National Institute of Technology, Silchar|Communication & Signal Processing|G1|EWS|370|335
120|Round 1|National Institute of Technology, Silchar|Structural Engineering|G1|SC|382|289
121|Round 1|National Institute of Technology, Silchar|Transportation Engineering|G1|OPEN|409|351
122|Round 1|National Institute of Technology, Srinagar|Power Electronics & Electrical Drives|G1|SC|300|271
123|Round 1|National Institute of Technology, Srinagar|Structural Engineering|G1|OBC-NCL|357|322
124|Round 1|National Institute of Technology, Srinagar|Computer Science & Engineering|G1|SC|382|331
125|Round 1|National Institute of Technology, Tiruchirappalli|Environmental Engineering|G1|OBC-NCL|543|505
126|Round 1|National Institute of Technology, Tiruchirappalli|Environmental Engineering|G3|SC|281|281
127|Round 1|National Institute of Technology, Tiruchirappalli|Industrial Safety Engineering|G1|OBC-NCL|486|461
128|Round 1|National Institute of Technology, Tiruchirappalli|Industrial Safety Engineering|G4|OBC-NCL|466|466
129|Round 1|National Institute of Technology, Tiruchirappalli|Manufacturing Technology|G1|SC|392|347
130|Round 1|National Institute of Technology, Tiruchirappalli|Process Control and Instrumentation|G2|OPEN|574|417
131|Round 1|National Institute of Technology, Tiruchirappalli|Structural Engineering|G1|OPEN|690|601
132|Round 1|National Institute of Technology, Tiruchirappalli|Transportation Engineering & Management|G1|OBC-NCL|542|516
133|Round 1|National Institute of Technology Uttarakhand|Structural Engineering|G1|OBC-NCL|362|341
134|Round 1|National Institute of Technology Uttarakhand|Transportation Engineering|G1|OBC-NCL|347|341
135|Round 1|National Institute of Technology, Warangal|Automobile Engineering|G1|SC|412|326
136|Round 1|National Institute of Technology, Warangal|Advanced Communication Systems|G1|SC|395|365
137|Round 1|National Institute of Technology, Warangal|Control & Automation|G1|OBC-NCL|464|459
138|Round 1|National Institute of Technology, Warangal|Control & Automation|G4|OBC-NCL|455|455
139|Round 1|National Institute of Technology, Warangal|Chemical Engineering|G1|OPEN|447|353
140|Round 1|National Institute of Technology, Warangal|Engineering Structures|G1|EWS|524|501
141|Round 1|National Institute of Technology, Warangal|Environmental Engineering|G1|OBC-NCL|440|416
142|Round 1|National Institute of Technology, Warangal|Geo-technical Engineering|G1|OBC-NCL|443|429
143|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Environmental Engineering|G1|OPEN|565|397
144|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Mechanical Engineering|G1|EWS|359|359
145|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Communication System|G1|ST|256|256
146|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Power Electronics & Electrical Drives|G1|ST|297|297
147|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Transportation Engineering & Planning|G1|SC|347|293
148|Round 1|Visvesvaraya National Institute of Technology, Nagpur|VLSI Design|G1|EWS|464|454
149|Round 1|Visvesvaraya National Institute of Technology, Nagpur|Computer Science & Engineering|G1|EWS|599|599
150|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Control System & Instrumentation|G1|OBC-NCL|396|365
151|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Environmental Engineering|G1|OPEN|440|370
152|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Mineral and Energy Resources Engineering|G1|SC|307|253
153|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Machine Design|G1|SC|306|294
154|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Thermal Engineering|G1|EWS|335|335
155|Round 1|Indian Institute of Engineering Science and Technology, Shibpur, District Howrah|Water Resources Engineering|G1|OBC-NCL|322|319
156|Round 1|Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior|IC Design and Technology|G1|OBC-NCL|438|404
157|Round 1|Indian Institute of Information Technology, Allahabad|Dual Degree M.Tech. - Ph.D in IT  with specialization in Machine Learning, Robotics and Human Computer Interaction Group|G1|EWS|527|527
158|Round 1|Indian Institute of Information Technology, Allahabad|Dual Degree M.Tech. - Ph.D in IT with specialization in Network and Security Group|G1|OBC-NCL|325|325
159|Round 1|Indian Institute of Information Technology, Allahabad|M.Tech. Biomedical Engineering|G1|OPEN|525|435
160|Round 1|Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai|Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems|G1|ST|251|241
161|Round 1|Indian Institute of Information Technology, Kota|Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science|G1|OPEN|544|494
162|Round 1|Indian Institute of Information Technology, Bhopal|M.Tech in Artificial Intelligence|G1|EWS|496|469
163|Round 1|Indian Institute of Information Technology, Bhopal|M.Tech in Data Science|G1|EWS|462|462
164|Round 1|National Institute of Electronics and Information Technology, Aurangabad|Electronics Design & Technology|G1|OPEN-PwD|236|236
165|Round 1|School of Planning & Architecture: Vijayawada|Master of Architecture (Landscape Architecture)|G1|OBC-NCL|344|317
166|Round 1|International Institute of Information Technology, Naya Raipur|Computer Science & Engineering|G1|OPEN|588|551
167|Round 1|University of Hyderabad|Artificial Intelligence|G1|SC|346|302
168|Round 1|Punjab Engineering College, Chandigarh|Environmental Engineering|G1|EWS|332|332
169|Round 1|Punjab Engineering College, Chandigarh|Computer Science & Engineering|G1|SC|371|342
170|Round 1|International Institute of Information Technology, Bhubaneswar|Computer Science & Engineering|G1|OPEN|548|512
171|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Laser and Electro Optics|G1|ST|299|299
172|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Materials Engineering|G1|SC|256|246
173|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (Radar and Communications)|G1|EWS|345|345
174|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics and Communication  Engineering (VLSI and Embedded System)|G1|EWS|414|414
175|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Electronics andCommunication  Engineering (Defence Electronics System)|G1|SC|305|295
176|Round 1|Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune|Mechanical Engineering (Mechanical System Design)|G1|ST|249|249
177|Round 1|Institute of Infrastructure, Technology, Research And Management, Ahmedabad|Urban Infrastructure|G1|OBC-NCL|335|335
178|Round 1|Indian Institute of Space Science and Technology, Thiruvananthapuram|Thermal and Propulsion|G1|OPEN|535|500
179|Round 1|Indian Institute of Space Science and Technology, Thiruvananthapuram|RF and Microwave Engineering|G1|OPEN|618|434
180|Round 1|Indian Institute of Space Science and Technology, Thiruvananthapuram|Machine Learning and Computing|G1|OBC-NCL|597|583
181|Round 1|Indian Institute of Space Science and Technology, Thiruvananthapuram|Quantum Technology|G1|SC|376|376
182|Round 1|National Institute of Technical Teachers Training & Research, Kolkata|M.Tech in Artificial Intelligence and Machine Learning|G1|OBC-NCL|430|389
183|Round 1|National Institute of Technical Teachers Training & Research, Kolkata|Smart Structural Engineering|G1|SC|289|255
184|Round 1|National Institute of Technology Karnataka, Surathkal|Construction Technology and Management|G1|EWS|497|495
185|Round 1|National Institute of Technology Karnataka, Surathkal|Geotechnical Engineering|G1|SC|375|359
186|Round 1|National Institute of Technology Karnataka, Surathkal|Industrial Biotechnology|G1|SC|342|232
187|Round 1|National Institute of Technology Karnataka, Surathkal|MTech in Materials Process Technology|G1|EWS|315|315
188|Round 1|National Institute of Technology Karnataka, Surathkal|Marine Structures|G1|EWS|403|348
189|Round 1|National Institute of Technology Karnataka, Surathkal|Signal Processing and Machine Learning|G1|SC|467|459
190|Round 1|National Institute of Technology Karnataka, Surathkal|Signal Processing and Machine Learning|G1|ST|327|315
191|Round 1|National Institute of Technology Karnataka, Surathkal|Transportation Engineering|G1|SC|436|385
192|Round 1|National Institute of Technology Karnataka, Surathkal|Water Resources Engineering & Management|G1|OPEN|535|458
193|Round 1|National Institute of Technology Karnataka, Surathkal|Computer Science & Engineering|G1|EWS|736|723
194|Round 1|National Institute of Technology Meghalaya|Power & Energy Systems|G1|SC|279|271
195|Round 1|National Institute of Technology Meghalaya|Structural Engineering|G1|SC|289|256
196|Round 1|National Institute of Technology Meghalaya|VLSI & Embedded Systems|G1|SC|328|295
197|Round 1|National Institute of Technology Nagaland|Communication Engineering|G1|OBC-NCL|345|320
198|Round 1|National Institute of Technology Patna|Control System Engineering|G1|SC|332|319
199|Round 1|National Institute of Technology Patna|Design Engineering|G1|OPEN|532|363
200|Round 1|National Institute of Technology Patna|Power System Engineering|G1|OPEN|455|380
201|Round 1|National Institute of Technology Patna|M.Arch. (Sustainable Architecture)|G1|OPEN|483|372
202|Round 1|National Institute of Technology Patna|Structural Engineering|G1|ST|267|248
203|Round 1|National Institute of Technology Puducherry|VLSI Design|G1|OPEN|524|454
204|Round 1|National Institute of Technology Raipur|M.Tech in Power System & Power Electronics|G2|OPEN|376|371
205|Round 1|National Institute of Technology Raipur|Energy and Environment|G1|OBC-NCL|350|323
206|Round 1|National Institute of Technology Raipur|Industrial Engineering & Management|G2|OBC-NCL|375|375
207|Round 1|National Institute of Technology Raipur|Water Resources Development & Irrigation Engineering|G1|OPEN|389|352
208|Round 1|National Institute of Technology Sikkim|M.Tech in Artificial Intelligence and Machine Learning|G1|OBC-NCL|426|411
209|Round 1|National Institute of Technology Sikkim|M.Tech in VLSI and Embedded Systems|G1|SC|295|288
210|Round 1|National Institute of Technology Sikkim|M.Tech in Electrical Engineering (Power and Energy Systems)|G1|SC|266|266
211|Round 1|National Institute of Technology Arunachal Pradesh|Innovation and Entrepreneurship|G1|OBC-NCL|337|320
212|Round 1|National Institute of Technology, Jamshedpur|Thermal Engineering|G1|OBC-NCL|323|318
213|Round 1|National Institute of Technology, Jamshedpur|Thermal Engineering|G1|EWS|347|347
214|Round 1|National Institute of Technology, Kurukshetra|Communication Systems|G1|EWS|422|395
215|Round 1|National Institute of Technology, Kurukshetra|Thermal Engineering|G1|OPEN|388|355
216|Round 1|National Institute of Technology, Manipur|Computer Science & Engineering|G1|OBC-NCL|441|396
217|Round 1|National Institute of Technology Mizoram|Thermal Engineering|G1|SC|188|188
218|Round 1|National Institute of Technology Mizoram|Microelectronics and VLSI System Design|G1|OPEN|414|370
219|Round 1|National Institute of Technology, Rourkela|RF and Microwave systems|G2|OPEN|539|490
220|Round 1|National Institute of Technology, Rourkela|Mechanical Systems Design and Control|G1|OPEN|584|584
221|Round 1|National Institute of Technology, Rourkela|Manufacturing and Automation Engineering|G3|ST|343|343
222|Round 1|National Institute of Technology, Rourkela|Control & Automation|G1|OBC-NCL|442|424
223|Round 1|National Institute of Technology, Rourkela|Chemical Engineering|G2|OPEN|426|426
224|Round 1|National Institute of Technology, Rourkela|Environmental Engineering|G1|OBC-NCL|416|407
225|Round 1|National Institute of Technology, Rourkela|Metallurgical & Materials Engineering|G2|OBC-NCL|360|360
226|Round 1|National Institute of Technology, Rourkela|Metallurgical & Materials Engineering|G4|SC|273|273
227|Round 1|National Institute of Technology, Rourkela|Industrial Ceramics|G1|ST|292|292
228|Round 1|National Institute of Technology, Rourkela|Information Security|G1|SC|472|441
229|Round 1|National Institute of Technology, Rourkela|Mining Engineering|G1|OPEN|469|469
230|Round 1|National Institute of Technology, Rourkela|Manufacturing and Automation Engineering|G3|OBC-NCL|408|396
231|Round 1|National Institute of Technology, Rourkela|Manufacturing and Automation Engineering|G3|OPEN|441|414
232|Round 1|National Institute of Technology, Rourkela|Energy and Environmental Engineering|G3|OBC-NCL|370|366
233|Round 1|National Institute of Technology, Rourkela|Metallurgical & Materials Engineering|G1|OPEN|574|574
234|Round 1|National Institute of Technology, Rourkela|Metallurgical & Materials Engineering|G4|OPEN|375|361
235|Round 1|National Institute of Technology, Rourkela|Metallurgical & Materials Engineering|G5|SC|273|273
236|Round 1|National Institute of Technology, Rourkela|Industrial Ceramics|G1|SC|314|314
237|Round 1|National Institute of Technology, Rourkela|Mining Engineering|G1|OBC-NCL|412|401
238|Round 1|National Institute of Technology, Rourkela|Geo-technical Engineering|G1|OBC-NCL|429|420
239|Round 1|National Institute of Technology, Rourkela|Geo-technical Engineering|G1|EWS|424|418
240|Round 1|National Institute of Technology, Silchar|Geotechnical Engineering|G1|OPEN|430|355
241|Round 1|National Institute of Technology, Silchar|Instrumentation Engineering|G1|ST|266|266
242|Round 1|National Institute of Technology, Silchar|Microelectronics & VLSI Design|G1|EWS|434|420
243|Round 1|National Institute of Technology, Silchar|RF and Terahertz Communications|G1|OBC-NCL|365|355
244|Round 1|National Institute of Technology, Silchar|Data Science & Engineering|G1|OPEN-PwD|338|338
245|Round 1|National Institute of Technology, Silchar|Transportation Engineering|G1|SC|312|286
246|Round 1|National Institute of Technology, Silchar|Thermal Engineering|G1|OBC-NCL|326|326
247|Round 1|National Institute of Technology, Silchar|Computer Science & Engineering|G1|OPEN|668|570
248|Round 1|National Institute of Technology, Srinagar|Water Resources Engineering|G1|ST|286|286
249|Round 1|National Institute of Technology, Srinagar|Computer Science & Engineering|G1|EWS|480|454
250|Round 1|National Institute of Technology, Tiruchirappalli|Communication Systems|G1|OPEN-PwD|236|236
251|Round 1|National Institute of Technology, Tiruchirappalli|Data Analytics|G1|OPEN|749|715
252|Round 1|National Institute of Technology, Tiruchirappalli|Environmental Engineering|G1|OPEN|685|563
253|Round 1|National Institute of Technology, Tiruchirappalli|Energy Engineering|G3|EWS|367|367
254|Round 1|National Institute of Technology, Tiruchirappalli|Industrial Safety Engineering|G1|SC|379|361
255|Round 1|National Institute of Technology, Tiruchirappalli|Process Control and Instrumentation|G3|OPEN|591|591
256|Round 1|National Institute of Technology, Tiruchirappalli|Power Systems|G1|SC|464|398
257|Round 1|National Institute of Technology, Tiruchirappalli|Structural Engineering|G1|SC|470|440
258|Round 1|National Institute of Technology, Tiruchirappalli|VLSI System|G2|EWS|731|642
259|Round 1|National Institute of Technology, Warangal|Advanced Communication Systems|G1|OBC-NCL|504|479
260|Round 1|National Institute of Technology, Warangal|Control & Automation|G1|OPEN|508|472
261|Round 1|National Institute of Technology, Warangal|Control & Automation|G4|OPEN|548|548
262|Round 1|National Institute of Technology, Warangal|Computer Science & Information Security|G1|OPEN-PwD|281|281
263|Round 1|National Institute of Technology, Warangal|Environmental Engineering|G1|OPEN|587|443
264|Round 1|National Institute of Technology, Warangal|Geoinformatics|G1|OBC-NCL|474|399
265|Round 1|National Institute of Technology, Warangal|Geo-technical Engineering|G1|SC|381|346
266|Round 1|National Institute of Technology, Warangal|Water Resources Engineering|G1|OBC-NCL|407|392
267|Round 1|National Institute of Technology, Warangal|Water Resources Engineering|G1|OPEN|498|410
268|Round 1|National Institute of Technology, Warangal|Computer Science & Engineering|G1|OBC-NCL|729|720
269|Round 1|National Institute of Technology, Warangal|Computer Science & Engineering|G1|OBC-NCL-PwD|311|311
270|Round 1|National Institute of Technology, Warangal|Computer Integrated Manufacturing|G1|OBC-NCL|438|424
271|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Construction Technology and Management|G1|ST|341|312
272|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Data Science|G1|OPEN|650|597
273|Round 1|Sardar Vallabhbhai National Institute of Technology, Surat|Data Science|G1|OPEN-PwD|206|206
